Company/Brand,Sector,Amount($),HeadQuarter,Year,Investor
Khidki,AI,3000000.0,Bengaluru,2018,Unknown
LetsTransport,Logistics,14617468.0,Bengaluru,2018,Unknown
Next Digital Solutions,Digital Marketing,1462.0,Kota,2018,Unknown
Portea Medical,Health Care,3654367.0,Bengaluru,2018,Unknown
Aavas Financiers,Finance,29234936.0,Jaipur,2018,Unknown
Swiggy,Food Delivery,1000000000.0,Bengaluru,2018,Unknown
Milkbasket,E-Commerce,7000000.0,Haryana,2018,Unknown
Nutrisattva (Proliva),Fitness,3000000.0,Anand,2018,Unknown
Toppr,EdTech,35000000.0,Mumbai,2018,Unknown
Jagaran Microfin,Unknown,8039607.0,Kolkata,2018,Unknown
Vivriti Capital,Financial Services,28500000.0,Chennai,2018,Unknown
Be U Salons,Apps,438524.0,New Delhi,2018,Unknown
Impact Guru,Creative Agency,2000000.0,Mumbai,2018,Unknown
MobiKwik,Consumer Lending,3508192.0,Gurugram,2018,Unknown
Stones2Milestones,E-Learning,3000000.0,Gurugram,2018,Unknown
Generico,Health Care,3000000.0,Mumbai,2018,Unknown
Adiuvo Diagnostics,Health Diagnostics,3000000.0,Chennai,2018,Unknown
DataTrained,EdTech,1754096.0,Bengaluru,2018,Unknown
OneAssist,Financial Services,2400000.0,Mumbai,2018,Unknown
Satin Creditcare Network Limited (SCNL),Banking,30000000.0,New Delhi,2018,Unknown
APAC Financial Services,Finance,36543670.0,Mumbai,2018,Unknown
Moglix,B2B,23000000.0,Noida,2018,Unknown
SEDEMAC Mechatronics,Automotive,3000000.0,Mumbai,2018,Unknown
MadGuy Labs,E-Learning,150000.0,Hyderabad,2018,Unknown
Dee Dee Labs,Embedded Systems,3000000.0,Pune,2018,Unknown
FLEECA,Unknown,3000000.0,Jaipur,2018,Unknown
Shop101,Apps,11000000.0,Mumbai,2018,Unknown
FeedMyPockets,Advertising,643169.0,Bangalore City,2018,Unknown
Housejoy,Beauty,3240000.0,Bengaluru,2018,Unknown
Ambee,Health Care,3000000.0,Bengaluru,2018,Unknown
FoodBuddy,Food Delivery,877048.0,Belgaum,2018,Unknown
Ninjacart,AgriTech,36543670.0,Bengaluru,2018,Unknown
Olly Smart Credit Card,Credit Cards,3000000.0,New Delhi,2018,Unknown
Zestl,Software,3000000.0,Pune,2018,Unknown
BYJU’S,EdTech,540000000.0,Bengaluru,2018,Unknown
Wakefit,Manufacturing,9501354.0,Bengaluru,2018,Unknown
Hero Electric,Manufacturing,23387949.0,New Delhi,2018,Unknown
Pentation Analytics,Information Services,3000000.0,Mumbai,2018,Unknown
PerkFinance,Consumer Lending,900000.0,Bengaluru,2018,Unknown
Roposo,Internet,10000000.0,Gurugram,2018,Unknown
Plum Goodness,Beauty,3000000.0,Thane,2018,Unknown
Drstore,Hospital,3000000.0,Mumbai,2018,Unknown
Wow Venue,Events,1500000.0,Mumbai,2018,Unknown
Chizel,3D Printing,3000000.0,Pune,2018,Unknown
OTO Capital,Automotive,730873.0,Mumbai,2018,Unknown
Boodmo,Automotive,1023223.0,Gurugram,2018,Unknown
Khabri,Apps,3000000.0,Haryana,2018,Unknown
MyNewCar,Automotive,1000000.0,Gurugram,2018,Unknown
HalaPlay Technologies,Digital Entertainment,5000000.0,Bengaluru,2018,Unknown
PlanetSpark,E-Learning,233879.0,Gurugram,2018,Unknown
WheelsEMI,Unknown,14000000.0,Pune,2018,Unknown
Forum for Innovation Incubation Research and Entrepreneurship,Funding Platform,1498290.0,Margão,2018,Unknown
OYO,Hospitality,100000000.0,Gurugram,2018,Unknown
Quikr,Classifieds,8039607.0,Bengaluru,2018,Unknown
Tabono,Sports,3000000.0,Gurugram,2018,Unknown
LearnApp,Banking,292349.0,Noida,2018,Unknown
Shopkirana,E-Commerce,2000000.0,Indore,2018,Unknown
Fric Bergen,Unknown,3000000.0,Alwar,2018,Unknown
Articbot,AI,17541.0,Kannur,2018,Unknown
BuildSupply,Enterprise Resource Planning (ERP),3654367.0,Gurugram,2018,Unknown
Fusion Microfinance,Banking,76010834.0,New Delhi,2018,Unknown
Any time Doctor,Software,3000000.0,Chennai,2018,Unknown
Go Payments,Information Services,3000000.0,Mumbai,2018,Unknown
Guiddoo World,Audio,800000.0,Mumbai,2018,Unknown
ION Energy,Energy,1041000.0,Mumbai,2018,Unknown
UnoTag,AI,100000.0,Bengaluru,2018,Unknown
CivilCops,Government,100000.0,Gurugram,2018,Unknown
Rockmetric,Information Technology,3000000.0,Mumbai,2018,Unknown
Classworks India,Education,1462.0,Chennai,2018,Unknown
Snapmint,Consumer Lending,3000000.0,Mumbai,2018,Unknown
artbandhu,Digital Media,15000.0,Bengaluru,2018,Unknown
Survaider,Business Intelligence,500000.0,Bengaluru,2018,Unknown
Credy,Credit,1400000.0,Bengaluru,2018,Unknown
iChamp,E-Learning,5000000.0,Gurugram,2018,Unknown
Qandle,Software,1200000.0,Gurugram,2018,Unknown
Avishkaar Box,Children,730873.0,Delhi,2018,Unknown
Gegadyne Energy,Automotive,3000000.0,Mumbai,2018,Unknown
HyperXchange,E-Commerce,1000000.0,Pune,2018,Unknown
Deftouch,Unknown,3000000.0,Bengaluru,2018,Unknown
Doodhwala,Food Delivery,2200000.0,Bengaluru,2018,Unknown
DronaHQ,Mobile,500000.0,Mumbai,2018,Unknown
FastFox,Rental,1461747.0,Gurugram,2018,Unknown
BuyForexOnline,Travel,2000000.0,Bengaluru,2018,Unknown
Colive,Consumer,1800000.0,Bengaluru,2018,Unknown
Agricxlab Private Limited,B2B,500000.0,Thane,2018,Unknown
Corefactors,Unknown,3000000.0,Bengaluru,2018,Unknown
Fincash,Wealth Management,150000.0,Mumbai,2018,Unknown
Pandorum Technologies,BioTech,3600000.0,Bengaluru,2018,Unknown
Shirsa Labs,Education,500000.0,Mumbai,2018,Unknown
PetSutra,Veterinary,138866.0,Gurugram,2018,Unknown
Awaaz De,Internet,3000000.0,Ahmedabad,2018,Unknown
PinkBlue,Health Care,300000.0,Bengaluru,2018,Unknown
Eduvanz,Finance,500000.0,Mumbai,2018,Unknown
Rupeek,Financial Services,6830000.0,Bengaluru,2018,Unknown
Backpacker Panda Holidays Private Limited,Tourism,1400000.0,Pune,2018,Unknown
Shape (School Health and Physical Education),Education,200000.0,Pune,2018,Unknown
Placio,Hospitality,2000000.0,Noida,2018,Unknown
Aviom India Housing Finance,Finance,2192620.0,New Delhi,2018,Unknown
GenRobotic,Market Research,3000000.0,Trivandrum,2018,Unknown
HeyHolidays,Tourism,1000000.0,Bengaluru,2018,Unknown
Pratilipi,Digital Media,4300000.0,Bengaluru,2018,Unknown
SectorQube,Consumer Electronics,3000000.0,Ernakulam,2018,Unknown
Food Memories,Food & Beverages,3000000.0,Ahmedabad,2018,Unknown
ZAMROO,Internet,3000000.0,India,2018,Unknown
Silversparro Technologies Pvt,Analytics,300000.0,Gurugram,2018,Unknown
Creator’s Gurukul,Facilities Support Services,3000000.0,Gurugram,2018,Unknown
Emflux Motors,Automotive,364846.0,Bengaluru,2018,Unknown
Tricog Health Services Pvt Ltd,Health Care,4000000.0,Bengaluru,2018,Unknown
Scapic,Cloud Computing,500000.0,Bengaluru,2018,Unknown
6Degree,Fashion,400000.0,Mumbai,2018,Unknown
Chrysalis (EZ Vidya),Education,3000000.0,Chennai,2018,Unknown
Ekincare,Medical,1500000.0,Hyderabad,2018,Unknown
Streo,Music Streaming,3000000.0,Gurugram,2018,Unknown
Groww,Finance,120000.0,Kormangala,2018,Unknown
Cell Propulsion,Unknown,102322.0,Bengaluru,2018,Unknown
Chezuba,Internet,20464.0,Hyderabad,2018,Unknown
Ontrack Technologies Pvt,Retail,3000000.0,Bengaluru,2018,Unknown
Wealthtrust,Finance,500000.0,Mumbai,2018,Unknown
Faclon Labs,Cloud Computing,3000000.0,Mumbai,2018,Unknown
Awign Enterprises,Business Development,730873.0,Bengaluru,2018,Unknown
CollPoll,Education,3000000.0,Bengaluru,2018,Unknown
Zyla Health,Health Care,3000000.0,New Delhi,2018,Unknown
Hubhopper,Internet,500000.0,Delhi,2018,Unknown
Rubix108 Technologies,Information Technology,1000000.0,Pune,2018,Unknown
Workflexi,Human Resources,146175.0,Bengaluru,2018,Unknown
Streak,Financial Services,328893.0,Bengaluru,2018,Unknown
Kuants,Financial Services,73087.0,Gurugram,2018,Unknown
NiYO Solutions,Finance,13200000.0,Bengaluru,2018,Unknown
Hippo Video,Customer Service,3000000.0,Chennai,2018,Unknown
Satvacart,E-Commerce,3000000.0,Gurugram,2018,Unknown
Daaki,Health Care,3000000.0,Bengaluru,2018,Unknown
Simulanis,Training,500000.0,New Delhi,2018,Unknown
MY CHIRAAG CAB,Travel,1000000.0,Jaipur,2018,Unknown
WOTU,Food & Beverages,3000000.0,Bengaluru,2018,Unknown
Flathalt,Unknown,50000.0,Gurugram,2018,Unknown
True Elements,Dietary Supplements,730873.0,Pune,2018,Unknown
Trendlyne Technologies,Financial Services,200000.0,Bengaluru,2018,Unknown
Planys Technologies,Manufacturing,2049369.0,Chennai,2018,Unknown
HealthPlix,Fitness,3000000.0,Bengaluru,2018,Unknown
dishq,Unknown,400000.0,Bengaluru,2018,Unknown
Entropik Technology,AI,1100000.0,Bengaluru,2018,Unknown
myHQ,Collaboration,500000.0,Delhi,2018,Unknown
Trell,Unknown,1250000.0,Bangalore City,2018,Unknown
Kidovators (by GyanLab),Big Data,180000.0,Bengaluru,2018,Unknown
Log 9 Materials,Nanotechnology,438524.0,Uttar Pradesh,2018,Unknown
VTION,Analytics,280655.0,Gurugram,2018,Unknown
HousingMan,Unknown,1505599.0,Bengaluru,2018,Unknown
Steradian Semiconductors,Unknown,3000000.0,Bengaluru,2018,Unknown
RupeeCircle,Financial Services,584699.0,Mumbai,2018,Unknown
