Company/Brand,Sector,Amount($),HeadQuarter,Year,Investor
Eggoz,Food & Bevarages,1500000.0,Indore,2020,"AVANA Capital, Rebright Partners"
Steradian Semiconductors,DeepTech,3000000.0,Bengaluru,2020,Endiya Partners.
CHARGE+ZONE,EV,3000000.0,Gujarat,2020,Mumbai Angels
Stones2milestones,EdTech,2000000.0,Gurugram,2020,"Menterra Venture Advisors, Emandi Sankara Rao"
Udacity,EdTech,75000000.0,California,2020,"Hercules Capital, Inc.Bertelsmann"
AjnaLens,AR,1000000.0,Thane,2020,"Mohsin Hani Al Bahrani, MoD"
Gully Network,E-commerce,1200000.0,Bengaluru,2020,"CP Ventures, Orios Venture Partners"
TurboHire,Recruitment startup,1000000.0,Hyderabad,2020,"Kia Ora Ventures, Pentathlon Ventures"
Traya,HealthTech,3000000.0,Mumbai,2020,"Kae Capital, Whiteboard Capital"
Charcoal Eats,QSR startup,2000000.0,Mumbai,2020,Lokmat Investments
Mitron TV,Video platform,3000000.0,Bengaluru,2020,9Unicorns
Svami,Food & Bevarages,800000.0,Mumbai,2020,"Niren Shah, Rukam Capital Trust"
Dhurnia,EdTech,100000.0,Dhingsara,2020,"Chandigarh Angels Network, Modulor Capital"
Expertrons,EdTech,3000000.0,Mumbai,2020,"Rohit Chanana, Sukanta Ganguly"
Leena AI,AI,8000000.0,New York,2020,"Alan Patricof, Jim Moffatt"
Bizlog,Logistics,1000000.0,Bengaluru,2020,IAN Fund
Tamasha,Gaming,300000.0,Mumbai,2020,"9Unicorns, Titan Capital, FirstCheque"
Fedo,AI,1000000.0,Bengaluru,2020,AIM Smart City
FabHotels,Hospitality,1000000.0,Gurugram,2020,"RB Investments Pte. Ltd, Goldman Sachs"
Freshokartz,AgriTech,1000000.0,Jaipur,2020,Vikram Sud
FlexiLoans,FinTech,6000000.0,Mumbai,2020,>Vikram Sud
Agrix,AgriTech,3000000.0,Patna,2020,Maple Capital Advisors
BharatAgri,AgriTech,3000000.0,Pune,2020,"021 Capital, India Quotient"
FreshtoHome,E-commerce,121000000.0,Bengaluru,2020,"Ascent Capital, Iron Pillar"
Credable,FinTech,4500000.0,Mumbai,2020,Oaks Asset Management
Railofy,Transportation,5000000.0,Mumbai,2020,"Roots Ventures, Better Capital"
Finova Capital,FinTech,55000000.0,Jaipur,2020,"Sequoia Capital India, Faering Capital"
Teachmint,EdTech,3500000.0,Bengaluru,2020,Lightspeed India
Peel-Works,E-commerce,3000000.0,Mumbai,2020,"CESC Ventures, Brun Raschle"
Janani,Fertility tech,200000.0,Bengaluru,2020,9Unicorns
Credgenics,FinTech,3300000.0,Gurugram,2020,"Accel, Sunder Nookala"
Finelistings,Luxury car startup,3000000.0,New Delhi,2020,Justdial
Wellversed,HealthCare,3000000.0,New Delhi,2020,"KLUB Works, Shankar Narayanan"
Jumbotail,E-commerce,11000000.0,Bengaluru,2020,Nexus Venture Partners and 23 High Networth Individuals (HNIs)
Winzo,Gaming,2000000.0,New Delhi,2020,"Makers Fund, Courtside Ventures"
mCaffeine,Cosmetics,5000000.0,Mumbai,2020,"RPSG Ventures, Amicus Capital"
Pocket FM,FM,5000000.0,Bengaluru,2020,"Times Group, Lightspeed"
Snackible,HealthCare,3000000.0,Mumbai,2020,"Mumbai Angels, Murali Nair"
FreshtoHome,E-commerce,16000000.0,Bengaluru,2020,"Ascent Capital, Iron Pillar"
Jumbotail,Retail,11000000.0,Bengaluru,2020,"Nexus Venture Partners, Capria Ventures"
Nykaa,E-commerce,3000000.0,Mumbai,2020,"Katrina Kaif, Steadview Capital"
TagZ Foods,Food,3000000.0,Bengaluru,2020,"Exfinity Venture Partners, Shesh Kondi"
Genius Teacher,EdTech,2000000.0,Mumbai,2020,"Sandeep Tandon, Daniel Lapus"
Krimanshi Feeds,Nutrition sector,500000.0,Jodhpur,2020,"Rajasthan Venture Capital Fund, AIM Smart City"
Origo,AgriTech,4000000.0,Gurugram,2020,Northern Arc Capital
GetVantage,FinTech,5000000.0,Mumbai,2020,"Samyakth Capital, Venture Catalysts"
Betterplace,Tech platform,10000000.0,Bengaluru,2020,Jungle Ventures
Biddano,HealthCare,600000.0,Mumbai,2020,Windrose Capital
InVideo,Video,15000000.0,Mumbai,2020,"Base Partners, Sequoia Capital India"
Arzooo,Retail Tech,7500000.0,Bengaluru,2020,"3Lines, Jabbar Internet Group"
Hubilo,Tech,4500000.0,San Francisco,2020,"Nishant Rao, Jonathan Boutelle"
BASIC Home Loan,FinTech,5000000.0,Gurugram,2020,Picus Capital
Ketos,AI,18000000.0,San Francisco,2020,"Citi Ventures, Illuminated Funds Group"
SUGAR cosmetics,Cosmetics,2000000.0,Mumbai,2020,"A91 Partners, RB Investments Pte. Ltd"
Signzy,FinTech,5400000.0,Bengaluru,2020,"GenNext Ventures, Contrarian Drishti Partners"
Ahaguru,EdTech,3000000.0,Chennai,2020,Anand Mahindra
Tekion,AI,150000000.0,San Ramon,2020,"Alliance Ventures, Storm Ventures"
Brighteye Ventures,EdTech,5400000.0,Paris,2020,Tandem
EzeRx,MedTech,200000.0,Kolkata,2020,"Indian Oil Corporation, Krishna Chakravarty"
VitalTech,HeathTech,3000000.0,Plano,2020,Tech Mahindra
Genius Teacher,EdTech,2000000.0,Mumbai,2020,"Whiteboard Capital, VKG Ventures LLP."
Ultraviolette Automotive,Automobiles,4000000.0,Bengaluru,2020,TVS Motor Company
Tring,Social Media,3000000.0,Mumbai,2020,"Sujeet Kumar, Hemesh Singh"
Rare Planet,Retail,400000.0,Kolkata,2020,Venture Catalysts
GoodGamer,Gaming,2500000.0,Bengaluru,2020,Unknown
InnAccel,MedTech,1500000.0,Bengaluru,2020,Mount Judi Ventures
Tiliter,Retail,7500000.0,Sydney,2020,"AngelList, Investec"
Slintel,Sales and marketing,4200000.0,San Francisco Bay Area,2020,"Accel, Stellaris Venture Partners"
SoOLEGAL,LegalTech,4000000.0,New Delhi,2020,Unknown
HobSpace,EdTech,200000.0,Mumbai,2020,Artha Venture
Supplynote,SaaS,500000.0,Noida,2020,"MOX, SOSV"
Hire Me Car,Car Service,3000000.0,Noida,2020,Unknown
ShopUp,E-commerce,22000000.0,Bangaldesh,2020,"Flourish Ventures, Lonsdale Capital"
Harmonizer India,Tech,3000000.0,Bengaluru,2020,Kapil Dev
Zomato,FoodTech,52000000.0,Gurugram,2020,"Kora, Tiger Global Management"
Dukaan,Tech,6000000.0,Mumbai,2020,"Lightspeed, Matrix Partners."
CredR,Bike marketplace,2000000.0,Mumbai,2020,"Eight Roads Ventures, On Mauritius"
Satyukt,AgriTech,500000.0,Bengaluru,2020,"NABVENTURES, Social Alpha (India)"
RACEnergy,Automobiles,3000000.0,Hyderabad,2020,"growX Ventures, Huddle (Incubator)"
TREAD,Fitness,1100000.0,Bengaluru,2020,"Better Capital, Kunal Shah, Gaurav Munjal"
Anveshan,FoodTech,100000.0,Bengaluru,2020,Titan Capital
TeaMonk,Food & Bevarages,900000.0,Bengaluru,2020,"Lead Angels Network, Roots Ventures"
Fleetx,Tech,3000000.0,Gurugram,2020,"Rohit Bansal, Rohan Ranavat"
ReNEWate,Real Estate,3000000.0,Pune,2020,Real Estate Accelerator Program
Tango Eye,SaaS,3000000.0,Chennai,2020,"Riso Investments, Lenskart"
Rare Planet,Reatil startup,3000000.0,Kolkata,2020,Venture Catalysts
Avataa Me,AR platform,7000000.0,Bengaluru,2020,Sequoia Capital India
Arrival,EV,118000000.0,London,2020,"UPS Ventures, Hyundai Motor Company"
Cover Genius,FinTech,15000000.0,Sydney,2020,"King River Capital, Leap Capital"
Phononic Vibes,DeepTech,2300000.0,Milano,2020,Unknown
MikeLegal,LegalTech,3000000.0,Gurugram,2020,"SOSV, Artesian"
Clair,FinTech,4500000.0,New York,2020,"Upfront Ventures, Walkabout Ventures"
Gourmet Garden,Consumer Goods,3000000.0,Palmwoods,2020,Advent Partners
Miko,AI,3000000.0,Mumbai,2020,"Stride Ventures, YourNest Venture Capital"
Razorpay,FinTech,100000000.0,Bengaluru,2020,"Tiger Global Management, Sequoia Capital India"
Ninjacart,Food Industry,30000000.0,Bengaluru,2020,"Syngenta Ventures, Walmart"
Wow! Momo,Food Industry,5000000.0,Kolkata,2020,"Tiger Global Management, William Bissell"
Pepper Content,Content marketplace,4200000.0,Mumbai,2020,"Alok Mittal, Manan Maheshwari"
LIVSPACE,Interior Design,4000000.0,Bengaluru,2020,"Mercer Investments, Bessemer Venture Partners"
Acculi Labs,HealthCare,600000.0,Bengaluru,2020,Startup Basket.
Your MD,HealthCare,25000000.0,London,2020,"Orkla Ventures, Smedvig Capital"
Antaios,Tech,11000000.0,France,2020,Unknown
Unnati,AgriTech,1700000.0,Noida,2020,NABVENTURES
Disprz,EdTech,1600000.0,Chennai,2020,"Xseed Partners, InnoVen Capital"
Uni,FinTech,18500000.0,Mumbai,2020,"Lightspeed India Partners, Accel India"
Credit Wise Capital,FinTech,6000000.0,Mumbai,2020,Venture Catalysts
Chargebee,SaaS,55000000.0,San Francisco Bay Area,2020,"Accel, Steadview Capital"
Reliance Retail Ventures Ltd,Retail,70000000000.0,Mumbai,2020,"Silver Lake, Mubadala Investment Company"
Winuall,EdTech,2000000.0,Bengaluru,2020,"Amit Lakhotia, Akash Gehani"
Genrobotics,AI,300000.0,Trivandrum,2020,Unicorn India Ventures
Livve,Rental space,1500000.0,Cochin,2020,Unknown
Ergos,AgriTech,5000000.0,Samastipur,2020,"Aavishkaar Venture Capital, Chiratae Ventures"
Krishitantra,Soil-Tech,1000000.0,Hyderabad,2020,"NABVENTURES, Omnivore"
PakkaProfile,Recruitment startup,3000000.0,Bengaluru,2020,Java Capital
Monet Networks,AI,500000.0,Irvine,2020,"SenseAI Ventures, EvoNexus"
Unocoin,FinTech,3000000.0,Tumkur,2020,"Digital Finance Group, FundersClub"
Pesto,EdTech,3000000.0,New Delhi,2020,"Sriharsha Majety, Rahul Jaimini"
NirogStreet,Ayurveda tech,2000000.0,Gurugram,2020,"Wavemaker Partners, Subho Ray"
Bambrew,Packaging solution startup,3000000.0,Bengaluru,2020,Upsparks
Omnify,SaaS,3000000.0,San Francisco Bay Area,2020,"Saurabh Arora, LD Sharma"
Fanball XI,Gaming,1000000.0,New Delhi,2020,Foxhog Ventures
Treebo Hotels,Hospitality,6000000.0,Bengaluru,2020,"Ramesh Mangaleswaran, Saikiran Krishnamurthy"
GPS Renewables,Cleantech,3000000.0,Bengaluru,2020,"Triodos, Caspian"
Public,Social Media,30000000.0,New Delhi,2020,"Lee Fixel's Addition, SIG Global, Tanglin Venture Partners"
Legal Salah,LegalTech,1000000.0,Kolkata,2020,I2I Capitals
FanPlay,Gaming,3000000.0,New Delhi,2020,"Core91 Fund, Anupam Mittal"
ECOSTP,Sanitation solutions,19000000.0,Bengaluru,2020,Terwilliger Centre
Coralogix,SaaS,25000000.0,San Francisco,2020,"2B Angels, Janvest Capital Partners"
Equiwatt,Tech,300000.0,Newcastle Upon Tyne,2020,Rising Stars
Reliance Retail Ventures,E-commerce,800000000.0,Mumbai,2020,"General Atlantic, Kohlberg Kravis Roberts"
Zhangmen,EdTech,400000000.0,Shanghai,2020,"CICC Alpha, VMS Asset Management"
AgroWave,AgriTech,500000.0,Gurugram,2020,Sekhar Puli
Sapio Analytics,Tech,150000.0,Mumbai,2020,Unknown
Taimei,HealthCare,176000000.0,Jiaxing,2020,"Cowin Venture, ZSVC"
Avanse Financial Services,FinTech,15000000.0,Mumbai,2020,International Finance Corporation
Industry Buying,E-commerce,15000000.0,New Delhi,2020,"BlackSoil, BEENEXT"
Hopscotch,E-commerce,25000000.0,Mumbai,2020,"Marc Lore, Rise Capital"
Pristyn Care,HealthCare,11000000.0,Gurugram,2020,"Sequoia Capital India, Hummingbird Ventures"
WoodenStreet,Home Design,1000000.0,Rajastan,2020,"IAN Fund, Rajasthan Venture Capital Fund"
ACKO,InsureTech,60000000.0,Mumbai,2020,"RPS Ventures, Intact Ventures"
Farmers Fresh Zone,AgriTech,470000.0,Kochi,2020,"Artha India Ventures, Nagaraja Prakasam"
Invento,AI Startup,3000000.0,Bengaluru,2020,"Chiripal Group, Ratish Kumar Nair"
Infurnia,Tech,240000.0,Bengaluru,2020,"Pallav Nadhani, Idein Ventures"
AnalytIQSports's SuperCric,Entertainment,3000000.0,Bengaluru,2020,Unknown
Snowflake,Tech,3000000000.0,California,2020,"Salesforce Ventures, Dragoneer Investment Group"
GenieTalk,Tech,750000.0,Indore,2020,Unknown
Classplus,EdTech,10000000.0,Noida,2020,"Spiral Ventures, Surge"
Mobile Premier League,Entertainment,74000000.0,Bengaluru,2020,"Sequoia Capital India, Times Internet"
Fourth Partner Energy,Solar solution,16000000.0,Hyderabad,2020,"responsAbility, Grameen Impact India (GIII)"
Flipkart,E-commerce,62000000.0,Bengaluru,2020,"Tencent Holdings, Walmart"
Vivriti Capital,FinTech,1000000.0,Chennai,2020,"Aspada, Creation Investments Capital Management, LLC"
InsuranceDekho,FinTech,20000000.0,Ludhiana,2020,GirnarSoft
BestDoc,HealthCare,2100000.0,Kochi,2020,Unknown
Byju’s,EdTech,500000000.0,Bengaluru,2020,"Owl Ventures, Tiger Global Management"
Melorra,Jewellery startup,12500000.0,Bengaluru,2020,"Jamshed Jeejeebhoy, Symphony International Holdings"
Reliance,Multinational conglomerate company,2200000000.0,Mumbai,2020,"Facebook, Google, KKR, Silver Lake"
Inflexor Ventures,FinTech,10000000.0,Mumbai,2020,Unknown
Pandorum,Deeptech startup,5060000.0,Bengaluru,2020,"021 Capital, Karnataka Information Technology Venture Capital Fund"
SpeakIn,Social Network,3000000.0,Noida,2020,Homage Ventures.
LetsUp,Publication,3000000.0,Mumbai,2020,Unknown
Newsreach,Publication,3000000.0,Gujarat,2020,Mumbai Angels
Dream11,Entertainment,225000000.0,Mumbai,2020,"Steadview Capital, Tencent Holdings"
SignalX,Saas,750000.0,Hyderabad,2020,Unknown
JetSynthesys,Tech,40000000.0,Mumbai,2020,"Adar C. Poonawalla, Kris Gopalakrishnan"
Vesta Space Technology,Tech,10000000.0,Pune,2020,Unknown
Dozee,HealthTech,1600000.0,Bengaluru,2020,Unknown
Rebel Foods,Food,50000000.0,Pune,2020,Coatue Management
Nykaa,Fashion,24700000.0,Mumbai,2020,Steadview Capital
Ketto,Finance,7700000.0,Mumbai,2020,"Mumbai Angels, Redcliffe Capital"
Suryoday,Finance,800000.0,Mumbai,2020,"Gaja Capital, Kotak Life, Lok Capital"
SucSEED,Finance,1300000.0,Hyderabad,2020,"DR. Moti Vyas, Udit Goyal"
Unacademy,EdTech,150000000.0,Bengaluru,2020,"Nexus Venture Partners, Sequoia Capital"
Strata,Real Estate,19067328.0,Bengaluru,2020,"Propstack, SAIF Partners"
3one4 Capital,Venture capital,100000000.0,Bengaluru,2020,Unknown
WE-Hub,Entreprenurship,3000000.0,Hyderabad,2020,Unknown
Zomato,Food devlivery,62000000.0,Haryana,2020,"MacRitchie Investments, Baillie Gifford"
Vicara,Tech,3000000.0,Bengaluru,2020,Unknown
Gaana,Entertainment,51000000.0,Gurugram,2020,"Tencent Holdings, Times Internet"
EM3 Agri,AgriTech,1000000.0,Noida,2020,"Global Innovation Fund, Soros Economic Development Fund"
Plum,Cosmetics,115000.0,Thane,2020,"Ronald Conway, Bay Partners"
Odwen,Warehouse,54000.0,Noida,2020,Prospect Partners.
Fasal,AgriTech,20000.0,Bengaluru,2020,"Omnivore, Zeroth.AI"
Trukky,Logistics,3000000.0,Ahmedabad,2020,Mumbai Angels.
BankBazaar,Online financial service,9000000.0,Chennai,2020,"Ramesh Srinivasan, Amazon"
Specsmakers,Eyeglasses,3000000.0,Chennai,2020,Eight Roads Ventures
Grinntech,Battery design,2000000.0,Dehradun,2020,"Ashok Leyland, V Lakshmi Narayanan"
CreditMantri,Online credit management startup,803146.0,Chennai,2020,"Ranjit Punja, R Sudarshan, Gowri Mukherjee"
Chai Waale,Beverage,238000.0,Chennai,2020,"Gunavanth Vaid, Bharat Kumar Sohanraj"
Deepsync,Tech,300000.0,Bengaluru,2020,Venkat Raju
ConnectedH,HealthCare,3000000.0,Gurugram,2020,Unknown
Reliance Retail,E-commerce,10220000.0,Mumbai,2020,Silver Lake Partners
QShala,EdTech,300000.0,Bengaluru,2020,Unknown
Pitstop,Car Service,1020000.0,Bengaluru,2020,"Clairvest Group, Ontario Centres of Excellence"
Zomato,Food devlivery,100000000.0,Haryana,2020,"MacRitchie Investments, Baillie Gifford"
Customfit ai,SaaS,3000000.0,Bengaluru,2020,Unknown
Nirmata,Tech,3000000.0,San Francisco,2020,"Damien Toledo, Jim Bugwadia, Ritesh Patel"
Hire Me Car,TravelTech,3000000.0,Noida,2020,US based NRI Investors
Oga Fit,Fitness,3000000.0,Bengaluru,2020,"Inflection Point Ventures, Mitesh Shah"
ShipsKart,E-commerce,200000.0,New Delhi,2020,Betatron
SquadStack,Tech,5000000.0,San Francisco,2020,"Chiratae Ventures, Blume Ventures"
Financepeer,EdTech,3000000.0,Mumbai,2020,"Ravi Sanghvi, PitchRight Venture"
Cashify,E-commerce,10000000.0,Gurugram,2020,"Bessemer Venture Partners, CDH Investments"
Etrio,EV,3000000.0,Hyderabad,2020,HNIs
Codeyoung,EdTech,3000000.0,Bengaluru,2020,Guild Capital
StayQrious,EdTech,2000000.0,Bengaluru,2020,Y Combinator
Sunstone Eduversity,EdTech,3000000.0,Gurugram,2020,Prime Venture Partners
Infilect,SaaS,1500000.0,Bengaluru,2020,"Mela Ventures, 1Crowd"
MobiGarage,E-commerce,3000000.0,New Delhi,2020,Unknown
Samunnati,Agriculture,20000000.0,Chennai,2020,"responsAbility, Accel"
WeInnovate Biosolutions,Startup laboratory,3000000.0,Pune,2020,Chiratae ventures
Yummy Corp,Food Industry,12000000.0,Tangerang,2020,"Palm Drive Capital, Amatil X Ventures"
Smallcase,FinTech,13400000.0,Bengaluru,2020,"Sequoia Capital India, Blume Ventures"
Clairvolex,Tech,2000000.0,California,2020,"JF Mauritius SPV, IndusAge Partners"
Assiduus,E-commerce,1000000.0,Bengaluru,2020,VC Firm K Partners
Brinton,HealthTech,1300000.0,California,2020,"India Alternatives Private Equity Fund, Tata Capital"
AFK Gaming,Entertainment,200000.0,Mumbai,2020,Unknown
Infarm,AgriTech,170000000.0,Berlin,2020,"Bonnier Ventures, Hanaco Venture Capital"
Zuper,SaaS,1100000.0,Seattle,2020,"Gemba Capital, Gunderson Dettmer"
mCaffeine,Personal care startup,2900000.0,Mumbai,2020,"RPSG Ventures, Amicus Capital"
Origa,FinTech,2000000.0,Andheri,2020,"500 Startups, ah! Ventures"
GullyBuy Software,Tech,543000.0,Pune,2020,Unknown
Recordent,FinTech,3000000.0,Hyderabad,2020,Unknown
MPL,Entertainment,90000000.0,Bengaluru,2020,"Base Partners, GO Ventures"
Penny,SaaS,1300000.0,Riyadh,2020,Unknown
Onsitego,Customer service company,30000000.0,Mumbai,2020,"Accel, Zodius Capital"
Precily,SaaS,3000000.0,California,2020,"Windrose Capital, Anil Advani"
SmartClean,Tech,3400000.0,Singapore,2020,"Seeds Capital, AIM Smart City"
ClanConnect,Marketing startup,600000.0,Delhi,2020,Unknown
Servify,Service industry,23000000.0,Mumbai,2020,"Blume Ventures, Tetrao"
ShareChat,Social media,40000000.0,Bengaluru,2020,"Lightspeed venture partners, saif partners"
Rephrase,AI,1500000.0,Bengaluru,2020,"Techstars Bangalore Accelerator, Techstars"
Melorra,Jewellery,8090000.0,Bengaluru,2020,"Shadows Holdings, Lightbox"
FabHotels,Hospitality,1030000.0,Gurugram,2020,"RB Investments Pte. Ltd, Goldman Sachs"
EkAnek,Tech,5040000.0,New Delhi,2020,"Lightspeed India Partners, Sequoia Capital India"
Cub McPaws,AR startup,800000.0,Mumbai,2020,Venture Catalysts
Zimyo,HR Tech startup,1500000.0,Gurugram,2020,"Abhishant Pant, Chiranth Patil"
PumPumPum,Automotive Startup,360000.0,Gurugram,2020,Unknown
Burgerama,Food Startup,3000000.0,Gurugram,2020,"Madison, Anicut"
Moms Co,HealthCare,8000000.0,Gurugram,2020,"DSG Consumer Partners, Saama Capital"
DillyHub,Publication,1400000.0,Seoul,2020,"Kakao Ventures, Shinhan Capital"
FPL Technologies,FinTech,10000000.0,Pune,2020,"Matrix Partners India, Hummingbird Ventures"
FITTR,Fitness,2000000.0,Pune,2020,Surge
Illumnus,EdTech,100000.0,Pune,2020,23 High Networth Individuals (HNIs).
CashKaro,E-commerce,10000000.0,Gurugram,2020,"Ratan Tata, Kalaari Capital"
Newton School,EdTech,650000.0,Bengaluru,2020,Nexus Venture Partners
Airmeet,Tech,12000000.0,Bengaluru,2020,"Global Founders Capital, Redpoint"
Observe ai,Tech,54000000.0,San Francisco,2020,"01 Advisors, Steadview Capital"
InCred,Finance,5000000.0,Mumbai,2020,"Pushpak Credit, Fiscal"
Toppr,EdTech,35000000.0,Mumbai,2020,"Kaizenvest, Foundation Holdings"
CarTrade,Car Trade,42500000.0,Mumbai,2020,"Pincus, JP Morgan, Temasek, March Capital"
LEAD School,EdTech,28000000.0,Mumbai,2020,"Westbridge Capital, Elevar Equity"
Servify,Manufacturing,11370000.0,Mumbai,2020,"Blume Ventures, Tetrao"
Lido Learning,EdTech,7500000.0,Mumbai,2020,"BAce Capital, Madhur Deora"
Apna,Job portal,8000000.0,Bengaluru,2020,"Lightspeed India, Sequoia Capital India"
Quintype Technologies,Tech,325000.0,Bengaluru,2020,"IIFL Asset Management, Raghav Bahl"
Dunzo,Tech,28000000.0,Bengaluru,2020,"Wes Schwalje, Alteria Capital"
Entropik,AI Platform,8000000.0,Bengaluru,2020,"IDFC-Parampara Fund, Bharat Innovation Fund"
Livspace,Home Design,9000000.0,Bengaluru,2020,"Mercer Investments, Nicholas Cator"
Ultraviolette Automotive,Automation,410000.0,Bengaluru,2020,TVS Motor Company
WinZO,Gaming,18000000.0,New Delhi,2020,"Makers Fund, Courtside Ventures"
SenseHawk,Saas,5000000.0,Bengaluru,2020,"Falcon Edge Capital, SAIF Partners"
Railofy,WL & RAC protection,900000.0,Mumbai,2020,Chiratae Ventures.
Eloelo,Social commerce,450000.0,Bengaluru,2020,Unknown
Aibono,AgriTech,2000000.0,Bengaluru,2020,"Menterra Venture Advisors, Rianta Capital"
BuildPan,SaaS,500000.0,Indore,2020,"Sunil Kumar Singhvi, Yusho Kawata"
Homelane,Home interior services,8000000.0,Bengaluru,2020,"Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures"
MyGlamm,Fashion,1000000.0,Mumbai,2020,Bessemer Venture Partners
Aviom,Finance,682000.0,New Delhi,2020,"Insitor Partners, C4D Partners"
Flinto,EdTech,7000000.0,Chennai,2020,"Sinai Ventures, Y Combinator"
WayCool,AgriTech,5060000.0,Chennai,2020,"FMO, IndusInd Bank"
YAP,API platform,4050000.0,Chennai,2020,"Jitendra Gupta, Better Capital"
Big Bang Boom Solutions,DeepTech,1050000.0,Chennai,2020,"Mumbai Angels, Defence Innovation Organisation"
GUVI,EdTech,800000.0,Chennai,2020,"CBA Capital, Gray Matters Capital"
BluSmart,Electricity,7000000.0,Gurugram,2020,"Kalpavriksh, JITO Angel Network"
Cell Propulsion,Automotive company,3000000.0,Bengaluru,2020,"growX ventures, Sangam Ventures"
MPL,Entertainment,50000000.0,Bengaluru,2020,"Sequoia Capital India, Times Internet"
Spoonshot,FMCG,1000000.0,Bengaluru,2020,"SRI Capital, Techstars Farm to Fork Accelerator"
Pulse,FinTech,750000.0,Mumbai,2020,Unknown
Groww,FinTech,30000000.0,Bengaluru,2020,"Y Combinator, Ribbit Capital"
i3 Systems,Insurance Tech,1050000.0,Mumbai,2020,"Hatanaka Yosuke, Minomiya Takeo"
SOAL,EdTech,1000000.0,Mumbai,2020,"Krishnan Menon, Srinivas Kollipara"
OckyPocky,EdTech,400000.0,Gurugram,2020,"SucSEED Venture Partners, ah! Ventures"
Hippo Video,Video personalization,4000000.0,New York,2020,"Surge, Kae Capital"
Hasura,Software Company,25000000.0,San Francisco,2020,"Nexus Venture Partners, Sam Lambert"
Qapita,FinTech,1080000.0,Singapore,2020,"Alto Partners, Mission Holdings"
Sunday,FinTech,9000000.0,Bangkok,2020,"SCB 10X, LINE Ventures"
Gamezop,Gaming,4300000.0,Gurugram,2020,"Powerhouse ventures, Tracxn,"
Phool,Biomaterial startup,1400000.0,Kanpur,2020,Kaplan Foundation
Chiratae Ventures,Venture capital,3000000.0,Bengaluru,2020,Unknown
MedLife,HealthCare,6800000.0,Bengaluru,2020,Ivy Icon
IDfy,IT,2110000.0,Mumbai,2020,"Millenna FVCI III, NB Ventures, Dream Incubator"
True Balance,Finance,3000000.0,Gurugram,2020,Balancehero
Bira91,Craft Beer,764000.0,New Delhi,2020,Anicut Capital
Max wholesale,E-commerce,603000.0,New Delhi,2020,"Al Falaj Commercial Investment Co, Vistra ITCL India"
Craftsvilla,E-commerce,409000.0,Mumbai,2020,Supera Investments
MechMocha,Entertainment,292000.0,Bengaluru,2020,"Accel India, Blume Ventures, 3F Ventures, Akatsuki Inc"
Mindhouse,HealthTech,286000.0,Gurugram,2020,"GGV Capital, Sahi Barual"
DeepSync,AI,136000.0,Chandigarh,2020,"Grand Anicut Angel Fund (GAAF), AL Trust, Beeline Impex Private Limited, 9Unicorns, Accelerator Fund"
Eruditus,Education,3000000.0,Mumbai,2020,"Bertelsmann India Investments, Sequoia Capital India"
Gradeup,Education,546000.0,Noida,2020,"Times Internet, TLabs"
Tracxn,Investment,887000.0,Bengaluru,2020,"Saif partners, Accel partners, Sequoia capital"
Purple Style Labs,Fashion,43000.0,Mumbai,2020,"Jitendra Gupta, Astarc Ventures."
ProPhysio,HealthCare,40900.0,Bengaluru,2020,Nestavera Ventures.
Flickstree,Tech,40900.0,Mumbai,2020,"MOX, Venture Catalysts"
Settl,TravelTech,3000000.0,Gurugram,2020,"Sojitz, SIG Global India Fund"
Fanspole,Entertainment,3000000.0,Thane,2020,"Mohan Verma, Better Capital"
Sarva,HealthCare,3000000.0,Mumbai,2020,"Shikhar Dhawan, Mantra Capital"
Univ,EdTech,3000000.0,Bengaluru,2020,Kiran Mazumdar Shaw.
PurohitJi,Linguistic Spiritual,3000000.0,Bengaluru,2020,Bhadresh
CredoLab,Tech,7000000.0,Singapore,2020,"GB Group, Walden International"
Brick&Bolt,Construction,2200000.0,Bengaluru,2020,"Meghna Agarwal, Navin Dhanuka"
Grinntech,Battery manufacturer,2000000.0,Chennai,2020,"V Sumantran, V Lakshmi Narayanan"
6Degree,Fashion,340000.0,Mumbai,2020,"Keiretsu Forum, SucSEED Venture Partners"
Exprs,Nano Distribution Network,5660000.0,Unknown,2020,"Sweta Rau, Sandeep Kapoor"
Bikayi,E-commerce,2000000.0,Hyderabad,2020,Mantis ventures
Virtual Forest,Tech,3000000.0,Bengaluru,2020,Napino Auto and Electronics Ltd
The Health company,AI,350000.0,Gurugram,2020,"VCATS, First Cheque, 9Unicorns, Marquee investors"
TrulyMadly Matchmakers,Dating app,110000.0,Gurugram,2020,"AngelList, Inflection Point Ventures, The Chennai Angels"
TrueFan,Media,4300000.0,Mumbai,2020,"Mayfield India, Saama Capital, Ronnie Screwvala"
Fanspole,Gaming,3000000.0,Mumbai,2020,Better Capital
Byju's,EdTech,122000000.0,Bengaluru,2020,DST Global
Avail Finance,FinTech,11635000.0,Bengaluru,2020,"Alphawave, Matrix Partners"
The Money Club,AI,3000000.0,Delhi,2020,Venture Catalysts
Virohan,HealthCare,2800000.0,Gurugram,2020,"Keiretsu Forum, Elea Foundation"
OneCode,Social Commerce,3000000.0,Gurugram,2020,WaterBridge Ventures
Verloop,AI,5000000.0,Unknown,2020,Alpha Wave incubation
Otipy,AgriTech,1000000.0,Unknown,2020,Inflection Point Ventures
